area_type,availability,location
Super built-up Area,Ready To Move,Byatarayanapura
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Electronic City
Built-up Area,Ready To Move,Ramamurthy Nagar
Built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Kengeri
Super built-up Area,18-Dec,Thanisandra
Super built-up Area,18-Jun,Malleshwaram
Plot Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Akshaya Nagar
Super built-up Area,18-Mar,Hebbal
Built-up Area,Ready To Move,Shampura
Super built-up Area,22-Dec,Devanahalli
Built-up Area,Ready To Move,Kadugodi
Built-up Area,Ready To Move,LB Shastri Nagar
Super built-up Area,22-Jan,Vajarahalli
Super built-up Area,Ready To Move,Hormavu
Plot Area,Ready To Move,Vishwapriya Layout
Built-up Area,Ready To Move,Peenya
Plot Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,Electronic City
Plot Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road
Super built-up Area,Ready To Move,Kudlu Gate
Built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,18-Aug,Devanahalli
Super built-up Area,19-Mar,8th Phase JP Nagar
Super built-up Area,18-May,Bommasandra Industrial Area
Super built-up Area,19-Jan,Chandra Layout
Built-up Area,Ready To Move,Hennur Road
Super built-up Area,19-Dec,Yelahanka
Super built-up Area,Ready To Move,Kasavanhalli
Super built-up Area,Ready To Move,ISRO Layout
Super built-up Area,17-Jul,Anandapura
Super built-up Area,Ready To Move,Vishveshwarya Layout
Super built-up Area,Ready To Move,Kothanur
Super built-up Area,Ready To Move,Kengeri Satellite Town
Super built-up Area,Ready To Move,Basavanapura
Plot Area,Ready To Move,Dinnur
Super built-up Area,19-Apr,Mysore Road
Super built-up Area,Ready To Move,Kannamangala
Super built-up Area,18-May,Devarachikkanahalli
Super built-up Area,Ready To Move,Sanjeevini Nagar
Super built-up Area,Ready To Move,Hulimavu
Super built-up Area,18-Jul,Electronic City Phase II
Super built-up Area,Ready To Move,Kalena Agrahara
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Thanisandra
Plot Area,Ready To Move,Mahalakshmi Layout
Built-up Area,Ready To Move,Yarandahalli
Super built-up Area,18-May,Hosa Road
Super built-up Area,Ready To Move,Keshava Nagar
Built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,RMV Extension
Super built-up Area,18-Dec,Sarjapur
Super built-up Area,Ready To Move,Tejaswini Nagar
Super built-up Area,Ready To Move,Electronic City
Built-up Area,Ready To Move,Electronic City
Built-up Area,Ready To Move,Jai Bheema Nagar
Super built-up Area,Ready To Move,Kothnur Narayanapura
Super built-up Area,Ready To Move,Attibele
Super built-up Area,18-Apr,Electronic City
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,CV Raman Nagar
Plot Area,Ready To Move,CHIKKATIRUPATHI
Plot Area,Ready To Move,Kumaraswami Layout
Plot Area,Ready To Move,Nagavara
Super built-up Area,Ready To Move,Malleshwaram
Built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Hulimavu
Super built-up Area,Ready To Move,Hebbal Kempapura
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,21-Jun,Vijayanagar
Super built-up Area,Ready To Move,Electronic City
Plot Area,Ready To Move,8th block Koramangala
Super built-up Area,Ready To Move,Jakkuru Layout
Built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,KR Puram
Super built-up Area,Ready To Move,Marathahalli
Built-up Area,18-Dec,Kanakpura Road
Super built-up Area,Ready To Move,Pattandur Agrahara
Plot Area,Ready To Move,Bellandur
Plot Area,Ready To Move,Ejipura
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Kothanur
Built-up Area,Ready To Move,MS Pallya
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,Ready To Move,Nagasandra
Super built-up Area,Ready To Move,EPIP Zone
Super built-up Area,Ready To Move,Langford Town
Built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Kadugodi
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Kogilu
Super built-up Area,Ready To Move,Panathur
Built-up Area,Ready To Move,Nagondanahalli
Plot Area,Ready To Move,Padmanabhanagar
Super built-up Area,20-May,1st Block Jayanagar
Super built-up Area,Ready To Move,Kammasandra
Built-up Area,18-Jun,"Off Sarjapur Road,"
Super built-up Area,Ready To Move,Electronics City Phase 1
Super built-up Area,Ready To Move,Tala Cauvery Layout
Super built-up Area,Ready To Move,Dasarahalli
Built-up Area,Ready To Move,Magadi Road
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Ngef Layout
Super built-up Area,18-Dec,Sarjapur Road
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Koramangala
Built-up Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2"
Super built-up Area,19-Mar,Sarjapur Road
Super built-up Area,19-Dec,Devanahalli
Super built-up Area,Ready To Move,Muthurayya Swamy Layout
Built-up Area,Ready To Move,7th Phase JP Nagar
Plot Area,Ready To Move,Shantiniketan Layout
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,19-Aug,Dommasandra
Super built-up Area,Ready To Move,Budigere
Super built-up Area,Ready To Move,Dodda Nekkundi Extension
Super built-up Area,Ready To Move,Mylasandra
Built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Kalyan nagar
Super built-up Area,Ready To Move,Dr Shivarama Karantha Nagar
Super built-up Area,18-Apr,Bank Of Baroda Colony
Super built-up Area,21-Jun,Vijayanagar
Built-up Area,Ready To Move,Ramamurthy Nagar
Built-up Area,Ready To Move,Kullappa Colony
Super built-up Area,18-Aug,Chandapura
Plot Area,Ready To Move,Mukkutam Nagar
Super built-up Area,18-Sep,Chandapura
Super built-up Area,Ready To Move,Ashwath Nagar
Super built-up Area,Ready To Move,Ncpr Industrial Layout
Plot Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Kothanur
Plot Area,17-May,Meenakunte
Super built-up Area,Ready To Move,OMBR Layout
Super built-up Area,Ready To Move,Chandapura
Built-up Area,Ready To Move,Anand Nagar
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,18-Jun,Shree Ananth Nagar Layout
Built-up Area,Ready To Move,Kundalahalli Colony
Plot Area,Ready To Move,Horamavu Agara
Built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,17-Jun,Electronic City
Plot Area,Ready To Move,MCECHS layout
Super built-up Area,Ready To Move,Coffee Board Layout
Plot Area,Ready To Move,Ambedkar Nagar
Super built-up Area,Ready To Move,Vijayanagar
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Budigere
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,Attibele
Super built-up Area,Ready To Move,KUDLU MAIN ROAD
Super built-up Area,18-Oct,Hennur Road
Super built-up Area,Ready To Move,Geleyara Balaga Layout
Super built-up Area,Ready To Move,Kalena Agrahara
Super built-up Area,Ready To Move,Sarjapur
Super built-up Area,21-Dec,Talaghattapura
Built-up Area,Ready To Move,Kengeri Satellite Town
Plot Area,Ready To Move,Sundara Nagar
Super built-up Area,Ready To Move,Kogilu
Super built-up Area,Ready To Move,Hegde Nagar
Super built-up Area,Ready To Move,Balagere
Plot Area,Ready To Move,Meenakunte
Super built-up Area,Ready To Move,Kadugodi
Super built-up Area,Ready To Move,Jigani
Built-up Area,Ready To Move,Gollarapalya Hosahalli
Built-up Area,Ready To Move,7th Phase JP Nagar
Plot Area,Ready To Move,Srirampura
Built-up Area,Ready To Move,Electronics City Phase 1
Super built-up Area,Ready To Move,Bisuvanahalli
Super built-up Area,18-Aug,Old Madras Road
Built-up Area,Ready To Move,Kalena Agrahara
Super built-up Area,Ready To Move,Kaggadasapura
Super built-up Area,Ready To Move,Silver Springs Layout
Super built-up Area,18-Jul,Chandapura
Super built-up Area,21-May,Kanakpura Road
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Electronic City Phase II
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,Ready To Move,9th Phase JP Nagar
Super built-up Area,Ready To Move,Jakkur
Plot Area,18-Jan,TC Palaya
Carpet Area,Ready To Move,Maruthi Sevanagar
Super built-up Area,Ready To Move,RMV 2nd Stage
Plot Area,Ready To Move,Giri Nagar
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Singasandra
Super built-up Area,Ready To Move,Kalena Agrahara
Super built-up Area,Ready To Move,Vijayanagar
Super built-up Area,Ready To Move,Kothanur
Super built-up Area,Ready To Move,AECS Layout
Super built-up Area,20-Dec,Kanakpura Road
Super built-up Area,Ready To Move,Mallasandra
Super built-up Area,Ready To Move,Begur
Super built-up Area,Ready To Move,JP Nagar
Super built-up Area,Ready To Move,Panathur
Super built-up Area,Ready To Move,Sunder Ram Shetty Nagar
Super built-up Area,18-Apr,Yelahanka
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,18-Apr,Malleshpalya
Plot Area,Ready To Move,Srirampura
Super built-up Area,18-Dec,Kodathi
Super built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Munnekollal
Super built-up Area,Ready To Move,Motappa Layout
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,18-Apr,Electronic City
Plot Area,Ready To Move,Marathahalli
Plot Area,Ready To Move,Akshaya Vana
Super built-up Area,Ready To Move,Rajaji Nagar
Plot Area,Ready To Move,Giri Nagar
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Manayata Tech Park
Super built-up Area,Ready To Move,Kaval Byrasandra
Super built-up Area,Ready To Move,Kaggalipura
Built-up Area,Ready To Move,Basavanna Nagar
Super built-up Area,20-Mar,Sarjapur Road
Plot Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,6th Phase JP Nagar
Super built-up Area,Ready To Move,Ulsoor
Super built-up Area,19-Dec,Whitefield
Built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Thigalarapalya
Super built-up Area,Ready To Move,Somasundara Palya
Plot Area,18-Mar,T.C PALYA
Carpet Area,Ready To Move,Muneshwara Nagar
Super built-up Area,Ready To Move,Devarachikkanahalli
Super built-up Area,Ready To Move,Kalena Agrahara
Built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,21-Dec,Kanakpura Road
Super built-up Area,Ready To Move,Basaveshwara Nagar
Plot Area,Ready To Move,Bull Temple Road
Super built-up Area,18-Jun,Bommasandra
Super built-up Area,Ready To Move,Prashanth Nagar
Plot Area,18-Dec,Suragajakkanahalli
Built-up Area,Ready To Move,Ardendale
Super built-up Area,Ready To Move,Harlur
Carpet Area,Ready To Move,Sampigehalli
Super built-up Area,Ready To Move,Akshaya Nagar
Super built-up Area,18-May,Electronic City Phase II
Plot Area,Ready To Move,RMV
Super built-up Area,Ready To Move,Banashankari3rd stage bigbazar
Super built-up Area,21-Dec,Bagalur Main Road
Super built-up Area,Ready To Move,Kodihalli
Super built-up Area,18-Aug,Magadi Road
Super built-up Area,Ready To Move,Narayanapura
Super built-up Area,Ready To Move,MS Pallya
Plot Area,Ready To Move,Binny Mills Employees Colony
Built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Hennur
Super built-up Area,18-Mar,Chandapura
Built-up Area,Ready To Move,Bellandur
Super built-up Area,Ready To Move,5th Phase JP Nagar
Built-up Area,Ready To Move,KR Puram
Super built-up Area,Ready To Move,Balagere
Super built-up Area,Ready To Move,Hebbal
Built-up Area,Ready To Move,Kodigehaali
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,19-Mar,Gopalapura
Super built-up Area,Ready To Move,Begur Road
Super built-up Area,Ready To Move,Lakshminarayana Pura
Super built-up Area,Ready To Move,Billekahalli
Super built-up Area,18-May,8th Phase JP Nagar
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,18-May,Jalahalli
Super built-up Area,Ready To Move,Hegde Nagar
Built-up Area,Ready To Move,Mahadevpura
Plot Area,19-Jan,Anekal
Super built-up Area,Ready To Move,Begur Road
Built-up Area,Ready To Move,Kengeri
Super built-up Area,Ready To Move,Kanakpura Road
Built-up Area,20-Dec,"Hoodi Circle,"
Built-up Area,Ready To Move,Vijayanagar
Super built-up Area,21-Jun,Vijayanagar
Built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Sompura
Super built-up Area,18-Aug,Yeshwanthpur
Super built-up Area,Ready To Move,Electronics City Phase 1
Built-up Area,Ready To Move,Ashirvad Colony
Built-up Area,Ready To Move,Doddathoguru
Built-up Area,Ready To Move,Dodda Nekkundi
Super built-up Area,Ready To Move,K N Extension
Built-up Area,Ready To Move,Hosur Road
Super built-up Area,Ready To Move,Chandapura
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Whitefield
Plot Area,Ready To Move,Battarahalli
Super built-up Area,Ready To Move,Gokula Extension
Super built-up Area,Ready To Move,7th Phase JP Nagar
Plot Area,Ready To Move,Kamakshipalya
Plot Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Rajaji Nagar
Super built-up Area,19-Jan,Rajaji Nagar
Plot Area,Ready To Move,Sultan Palaya
Super built-up Area,Ready To Move,Kengeri
Super built-up Area,Ready To Move,Sanne Amanikere
Super built-up Area,Ready To Move,Kengeri
Plot Area,Ready To Move,Mahalakshmi Layout
Super built-up Area,Ready To Move,Kanakpura Road
Built-up Area,Ready To Move,Amco Colony
Super built-up Area,Ready To Move,Billekahalli
Plot Area,Ready To Move,Nagarbhavi
Plot Area,17-Dec,Anandapura
Built-up Area,18-Aug,Bommasandra Industrial Area
Plot Area,Ready To Move,TC Palaya
Super built-up Area,Ready To Move,Budigere
Super built-up Area,18-Oct,Bommasandra
Super built-up Area,Ready To Move,Ambalipura
Built-up Area,Ready To Move,Hoodi
Plot Area,Ready To Move,Chandapura
Super built-up Area,17-Jul,Balagere
Super built-up Area,Ready To Move,CV Raman Nagar
Super built-up Area,Ready To Move,Samethanahalli
Super built-up Area,Ready To Move,Marathahalli
Built-up Area,16-Mar,Hosur Road
Super built-up Area,Ready To Move,Brookefield
Super built-up Area,Ready To Move,Yelenahalli
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Plot Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Richmond Town
Super built-up Area,Ready To Move,Suddaguntepalya
Super built-up Area,18-Jul,Udayapur Village
Super built-up Area,Ready To Move,Dasanapura
Plot Area,Ready To Move,Kasavanhalli
Plot Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Bellandur
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Ardendale
Super built-up Area,Ready To Move,Vittasandra
Super built-up Area,Ready To Move,Hoodi
Built-up Area,18-Apr,Electronic City
Super built-up Area,Ready To Move,Harlur
Super built-up Area,Ready To Move,Hulimavu
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Plot Area,Ready To Move,Giri Nagar
Super built-up Area,18-Sep,Sarjapur Road
Plot Area,Ready To Move,Thippasandra
Super built-up Area,Ready To Move,Hormavu
Built-up Area,Ready To Move,Chikkabidarakallu
Super built-up Area,18-May,Chandapura
Super built-up Area,Ready To Move,AECS Layout
Super built-up Area,18-Apr,Marathahalli
Super built-up Area,Ready To Move,1 Giri Nagar
Super built-up Area,Ready To Move,Harlur
Super built-up Area,18-May,Electronic City Phase II
Super built-up Area,Ready To Move,Hoysalanagar
Built-up Area,Ready To Move,Padmanabhanagar
Built-up Area,Ready To Move,Chikkalasandra
Super built-up Area,Ready To Move,Defence Colony
Super built-up Area,18-Dec,Hebbal
Super built-up Area,Ready To Move,Ambalipura
Super built-up Area,Ready To Move,Akshaya Nagar
Plot Area,Ready To Move,2nd Stage Nagarbhavi
Plot Area,Ready To Move,Vidyaranyapura
Super built-up Area,Ready To Move,Amruthahalli
Built-up Area,Ready To Move,ITI Employees Layout
Super built-up Area,18-May,Whitefield
Super built-up Area,Ready To Move,Koramangala
Super built-up Area,19-Jun,Kodigehalli
Built-up Area,Ready To Move,Patelappa Layout
Super built-up Area,Ready To Move,Ring Road Nagarbhavi
Super built-up Area,Ready To Move,NS Palya
Super built-up Area,Ready To Move,Subramanyapura
Built-up Area,Ready To Move,RMV 2nd Stage
Plot Area,Ready To Move,Basavangudi
Plot Area,Ready To Move,Kenchenahalli
Plot Area,Ready To Move,3rd Block Hrbr Layout
Super built-up Area,Ready To Move,KUDLU MAIN ROAD
Super built-up Area,Ready To Move,7th Phase JP Nagar
Plot Area,Ready To Move,Bank Avenue
Super built-up Area,Ready To Move,Chikkalasandra
Super built-up Area,Ready To Move,Hebbal Kempapura
Super built-up Area,Ready To Move,Surabhi Layout
Super built-up Area,Ready To Move,Old Madras Road
Plot Area,Ready To Move,Banjara Layout
Super built-up Area,22-Jun,Hoodi
Built-up Area,Ready To Move,5th Phase JP Nagar
Super built-up Area,18-Apr,Electronic City
Super built-up Area,Ready To Move,Omkar Nagar
Super built-up Area,Ready To Move,Yelahanka
Built-up Area,Ready To Move,Kereguddadahalli
Super built-up Area,Ready To Move,Bisuvanahalli
Super built-up Area,Ready To Move,Whitefield
Plot Area,17-Oct,Maragondanahalli
Super built-up Area,Ready To Move,Lingadheeranahalli
Built-up Area,Ready To Move,Silk Board
Super built-up Area,19-Dec,Hoodi
Built-up Area,Ready To Move,Shampura
Super built-up Area,Ready To Move,Vidyaranyapura
Super built-up Area,Ready To Move,Kada Agrahara
Super built-up Area,Ready To Move,JP Nagar
Super built-up Area,17-May,Kambipura
Super built-up Area,19-Apr,Sarjapur Road
Plot Area,Ready To Move,BHEL Layout
Built-up Area,Ready To Move,Medahalli
Super built-up Area,Ready To Move,Vittasandra
Plot Area,Ready To Move,8th Phase JP Nagar
Plot Area,Ready To Move,Banashankari Stage III
Super built-up Area,Ready To Move,Kashi Nagar
Super built-up Area,18-Dec,Haralur Road
Super built-up Area,Ready To Move,Begur Road
Plot Area,Ready To Move,Sector 7 HSR Layout
Built-up Area,Ready To Move,Hosur Road
Built-up Area,19-Jul,"Yemlur, Old Airport Road,"
Super built-up Area,Ready To Move,VHBCS Layout
Super built-up Area,18-Apr,Electronic City
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,17-Dec,Jakkur
Super built-up Area,Ready To Move,KR Puram
Built-up Area,Ready To Move,Ittamadu
Super built-up Area,18-Jul,Electronic City Phase II
Super built-up Area,Ready To Move,Thanisandra
Built-up Area,Ready To Move,Rajiv Nagar
Super built-up Area,18-Jun,Ramagondanahalli
Super built-up Area,18-Apr,Gattahalli
Super built-up Area,Ready To Move,Arekere
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,Ready To Move,Ramanjaneyanagar
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,Ready To Move,Magadi Road
Super built-up Area,Ready To Move,Mico Layout
Built-up Area,Ready To Move,7th Block Jayanagar
Super built-up Area,Ready To Move,Kanakpura Road
Built-up Area,20-Dec,Whitefield
Built-up Area,Ready To Move,Byatarayanapura
Super built-up Area,18-Apr,Electronic City
Plot Area,18-Mar,Whitefield
Plot Area,Ready To Move,2nd Phase JP Nagar
Super built-up Area,Ready To Move,Uttarahalli
Built-up Area,Ready To Move,Kammanahalli
Super built-up Area,Ready To Move,K G Colony
Super built-up Area,18-Sep,Hennur Road
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,18-Apr,Munnekollal
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Banashankari
Plot Area,Ready To Move,Hosa Road
Plot Area,Ready To Move,Herohalli
Built-up Area,Ready To Move,Chikkabanavar
Super built-up Area,21-Dec,Kanakpura Road
Built-up Area,Ready To Move,Attibele
Plot Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,3rd Block Hrbr Layout
Super built-up Area,21-Feb,Bannerghatta Road
Built-up Area,Ready To Move,Ittamadu
Super built-up Area,19-Dec,7th Phase JP Nagar
Super built-up Area,18-Aug,Bommasandra
Super built-up Area,Ready To Move,Electronics City Phase 1
Plot Area,Ready To Move,HRBR Layout
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,
Built-up Area,Ready To Move,Ashwini layout
Built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Vittasandra
Plot Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Marathalli bridge
Super built-up Area,18-May,Banashankari Stage III
Super built-up Area,Ready To Move,Marathahalli
Plot Area,Ready To Move,T.C PALYA
Super built-up Area,Ready To Move,Harlur
Plot Area,Immediate Possession,Sarjapur Road
Built-up Area,Ready To Move,Gottigere
Built-up Area,Ready To Move,Byatarayanapura
Super built-up Area,19-Dec,Hormavu
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Dooravani Nagar
Super built-up Area,Ready To Move,Mysore Road
Super built-up Area,Ready To Move,Jigani
Super built-up Area,Ready To Move,Koramangala
Super built-up Area,Ready To Move,JCR Layout
Super built-up Area,Ready To Move,Nehru Nagar
Built-up Area,Ready To Move,Kanakapura
Super built-up Area,Ready To Move,Harlur
Plot Area,Ready To Move,Papareddipalya
Super built-up Area,18-Jul,Venkatapura
Carpet Area,Ready To Move,Sanjay nagar
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,Ready To Move,Sneha Colony
Built-up Area,Ready To Move,RMV Extension
Super built-up Area,19-May,Sarjapur Road
Super built-up Area,Ready To Move,Kalena Agrahara
Super built-up Area,17-Nov,Konanakunte
Super built-up Area,Ready To Move,Hosapalya
Built-up Area,Ready To Move,Ashwini layout
Plot Area,Ready To Move,Doddagubbi
Super built-up Area,Ready To Move,Arekere
Super built-up Area,19-Jan,Malleshwaram
Built-up Area,Ready To Move,Gottigere
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Built-up Area,Ready To Move,Bisuvanahalli
Super built-up Area,18-May,Sector 6 HSR Layout
Plot Area,Ready To Move,Brookefield
Built-up Area,Ready To Move,Vidyaranyapura
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Kaggadasapura
Plot Area,Ready To Move,Margondanahalli
Plot Area,Ready To Move,ITI Layout
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
